id,first_name,last_name,email,gender,ip_address,trade_id,stock_symbol,trade_date,trade_time,trade_price,trade_quantity,buyer_id,seller_id,trade_type,commission_fee
17,Sandra,Hurkett,shurkettg@omniture.com,Female,151.193.8.189,17,GOOGL,11/16/2021,3,965.85,466,17,17,sell,69.02
18,Grantham,Peirson,gpeirsonh@weibo.com,Male,235.133.229.115,18,GOOGL,4/11/2021,6,57.61,413,18,18,buy,77.87
19,Drucy,Gergely,dgergelyi@bluehost.com,Polygender,254.36.238.101,19,MSFT,12/13/2021,0,507.58,263,19,19,buy,90.48
20,Elladine,Gosling,egoslingj@plala.or.jp,Female,29.92.137.167,20,FB,12/11/2021,1,493.61,518,20,20,buy,27.66
21,Giraud,Surridge,gsurridgek@google.nl,Male,93.145.5.81,21,AMZN,7/8/2020,5,314.78,505,21,21,sell,27.61
22,Dante,Kleehuhler,dkleehuhlerl@1und1.de,Male,104.196.21.33,22,GOOGL,11/4/2021,22,929.43,554,22,22,sell,60.83
23,Justinn,Bragginton,jbraggintonm@telegraph.co.uk,Female,118.255.142.3,23,GOOGL,12/21/2020,10,94.24,393,23,23,sell,77.22
24,Joye,Desantis,jdesantisn@ezinearticles.com,Female,139.223.183.73,24,GOOGL,12/3/2020,3,216.14,811,24,24,sell,53.69
25,Carolin,Le Marquand,clemarquando@4shared.com,Female,110.116.100.142,25,MSFT,6/22/2021,8,390.32,732,25,25,sell,35.59
26,Paolina,Maffy,pmaffyp@last.fm,Female,42.224.96.108,26,AAPL,6/21/2020,0,970.13,830,26,26,sell,96.39
27,Josy,Scholl,jschollq@homestead.com,Female,111.109.138.98,27,MSFT,6/16/2021,8,166.11,23,27,27,buy,26.56
28,Carleton,Vogele,cvogeler@xinhuanet.com,Male,89.231.116.67,28,AAPL,4/24/2020,2,469.87,578,28,28,buy,68.45
29,Ward,Seatter,wseatters@spotify.com,Male,244.67.44.209,29,AMZN,3/5/2021,13,278.68,934,29,29,sell,72.62
30,Willyt,Jacobs,wjacobst@ucla.edu,Non-binary,215.82.137.33,30,AAPL,2/6/2021,17,214.19,517,30,30,sell,99.88
31,Dwain,Cheston,dchestonu@addtoany.com,Male,104.20.127.201,31,MSFT,3/20/2021,4,716.13,902,31,31,buy,99.9
32,Linda,MacQuarrie,lmacquarriev@hhs.gov,Female,60.11.93.185,32,AMZN,8/29/2020,10,662.5,564,32,32,buy,15.13
33,Aymer,De Malchar,ademalcharw@wp.com,Male,163.236.227.214,33,AAPL,2/7/2020,3,655.05,496,33,33,buy,36.92
34,Berni,Matthaus,bmatthausx@un.org,Female,123.176.202.61,34,FB,4/21/2021,10,601.83,921,34,34,sell,64.44
35,Xena,Casperri,xcasperriy@homestead.com,Female,74.91.226.255,35,AAPL,9/9/2020,13,776.68,299,35,35,sell,29.46
36,Albie,Arnau,aarnauz@businesswire.com,Polygender,162.252.217.29,36,GOOGL,7/13/2020,5,293.52,321,36,36,buy,98.79
37,Ryan,Cullington,rcullington10@amazon.co.jp,Male,183.209.79.191,37,GOOGL,10/4/2020,20,898.38,465,37,37,buy,58.72
38,Wheeler,Carefull,wcarefull11@cbc.ca,Male,237.5.254.235,38,AMZN,10/13/2021,20,741.9,919,38,38,sell,88.16
39,Karyn,Bocken,kbocken12@eepurl.com,Genderqueer,153.126.207.31,39,GOOGL,5/12/2020,1,496.12,928,39,39,sell,56.03
40,Flossi,Muzzall,fmuzzall13@youku.com,Female,151.141.161.95,40,AMZN,5/18/2021,1,432.48,344,40,40,buy,43.96
41,Garek,Geraudel,ggeraudel14@issuu.com,Male,166.128.3.105,41,FB,7/11/2020,16,16.67,614,41,41,buy,25.92
42,Danella,Huitson,dhuitson15@jigsy.com,Female,143.74.208.157,42,GOOGL,6/27/2021,18,927.27,984,42,42,sell,1.44
43,Way,Vanderplas,wvanderplas16@discuz.net,Male,218.57.199.162,43,AAPL,11/14/2021,21,43.79,928,43,43,sell,2.08
44,Cornelle,Dillinger,cdillinger17@economist.com,Female,31.177.9.11,44,GOOGL,6/21/2020,8,834.64,289,44,44,buy,22.21
45,Krishnah,Levett,klevett18@twitter.com,Male,103.223.195.69,45,GOOGL,7/12/2021,9,357.33,421,45,45,sell,85.91
46,Tandie,Tookill,ttookill19@ameblo.jp,Female,249.231.62.86,46,FB,12/20/2021,20,843.84,731,46,46,sell,80.8
47,Issiah,Chaffin,ichaffin1a@va.gov,Male,178.99.23.84,47,GOOGL,4/8/2020,19,640.32,227,47,47,sell,90.89
48,Amalea,Fernant,afernant1b@icq.com,Genderqueer,115.99.236.32,48,GOOGL,9/17/2021,12,542.01,979,48,48,sell,93.32
49,Zorana,Paish,zpaish1c@webeden.co.uk,Female,203.175.41.62,49,AMZN,7/5/2020,11,624.04,472,49,49,sell,61.16
50,Meghann,Lilian,mlilian1d@cdc.gov,Non-binary,13.30.92.94,50,GOOGL,10/31/2020,17,156.23,890,50,50,sell,13.15
51,Estella,Di Bartolommeo,edibartolommeo1e@nih.gov,Female,200.168.210.233,51,AAPL,6/27/2020,16,385.51,241,51,51,sell,45.01
52,Kristofer,Grestye,kgrestye1f@dropbox.com,Male,31.27.118.132,52,FB,7/1/2020,2,73.01,594,52,52,sell,94.95
53,Padraig,Haggas,phaggas1g@fema.gov,Male,81.57.75.138,53,AAPL,11/15/2020,12,315.05,838,53,53,sell,39.18
54,Travers,Surgenor,tsurgenor1h@who.int,Male,212.175.85.132,54,FB,5/23/2020,5,701.45,782,54,54,buy,96.85
55,Jimmie,Withey,jwithey1i@google.it,Male,8.23.185.219,55,MSFT,9/11/2020,17,137.85,175,55,55,buy,85.04
56,Aleta,Essery,aessery1j@dailymotion.com,Female,88.253.69.237,56,MSFT,7/12/2021,23,195.85,656,56,56,sell,21.23
57,Arlen,Reyner,areyner1k@mozilla.org,Male,197.136.207.208,57,FB,9/24/2021,17,784.33,559,57,57,sell,9.61
58,Margi,Chandler,mchandler1l@harvard.edu,Female,158.87.129.198,58,AAPL,3/19/2020,11,743.69,198,58,58,sell,72.12
59,Esra,Crew,ecrew1m@gmpg.org,Male,146.121.234.233,59,MSFT,2/19/2021,7,889.38,244,59,59,sell,81.56
60,Kimbell,Mizzi,kmizzi1n@taobao.com,Male,90.177.62.1,60,GOOGL,9/24/2021,7,357.88,375,60,60,buy,96.26
61,Stephie,Orr,sorr1o@redcross.org,Female,219.200.13.77,61,MSFT,9/14/2021,18,952.93,908,61,61,sell,36.32
62,Marchall,Ladley,mladley1p@upenn.edu,Male,225.9.90.138,62,GOOGL,5/15/2020,5,969.98,791,62,62,sell,9.36
63,Licha,Dyble,ldyble1q@infoseek.co.jp,Non-binary,32.171.18.127,63,AMZN,5/6/2020,1,150.64,755,63,63,buy,63.44
64,Ginger,Huitson,ghuitson1r@drupal.org,Male,249.115.71.20,64,FB,4/15/2020,21,375.81,950,64,64,buy,93.58
65,Vonny,Fibbings,vfibbings1s@hostgator.com,Female,128.29.252.179,65,FB,8/4/2021,6,386.81,217,65,65,buy,32.73
66,Tabby,Hymer,thymer1t@webmd.com,Agender,106.157.166.149,66,FB,10/26/2020,0,204.05,767,66,66,buy,2.93
67,Kimmi,Northbridge,knorthbridge1u@github.io,Female,208.189.204.143,67,FB,2/23/2021,17,413.04,239,67,67,buy,81.96
68,Carline,MacPeake,cmacpeake1v@acquirethisname.com,Female,40.36.96.205,68,AMZN,3/29/2020,0,999.55,955,68,68,buy,42.84
69,Simeon,Philpotts,sphilpotts1w@imgur.com,Male,214.17.102.210,69,GOOGL,6/12/2020,6,336.76,530,69,69,buy,25.99
70,Jacobo,Trodd,jtrodd1x@odnoklassniki.ru,Male,143.93.112.253,70,GOOGL,9/17/2021,3,36.27,226,70,70,sell,60.92
71,Nanny,Saylor,nsaylor1y@wp.com,Female,78.26.84.96,71,FB,9/15/2020,5,794.86,35,71,71,buy,58.18
72,Loise,Gammett,lgammett1z@admin.ch,Female,246.210.224.106,72,MSFT,7/16/2020,1,647.2,546,72,72,buy,97.74
73,Emlyn,Fergusson,efergusson20@marriott.com,Female,128.17.137.76,73,AMZN,2/22/2020,20,23.58,964,73,73,sell,36.72
74,Ollie,Lindenbaum,olindenbaum21@webmd.com,Female,28.149.28.183,74,FB,6/3/2021,16,867.59,67,74,74,sell,56.76
75,Ealasaid,Costelloe,ecostelloe22@tamu.edu,Female,253.190.13.138,75,FB,2/14/2020,6,824.86,620,75,75,buy,81.49
76,Aland,Breston,abreston23@umn.edu,Male,27.28.103.181,76,MSFT,2/13/2020,19,180.26,997,76,76,sell,39.8
77,Brandy,Warlawe,bwarlawe24@unesco.org,Male,35.67.215.160,77,AMZN,7/2/2021,7,755.7,14,77,77,sell,76.19
78,Brooke,Vassman,bvassman25@auda.org.au,Male,245.93.18.80,78,AMZN,10/2/2021,15,895.94,703,78,78,buy,52.47
79,Carolan,Annion,cannion26@biblegateway.com,Female,176.172.44.219,79,MSFT,8/19/2021,22,954.09,650,79,79,buy,61.5
80,Maurits,Pavkovic,mpavkovic27@google.com,Male,44.22.75.182,80,AMZN,7/15/2021,10,595.54,532,80,80,buy,67.7
81,Ingamar,Pieterick,ipieterick28@latimes.com,Male,35.75.30.84,81,AMZN,1/1/2021,19,421.77,612,81,81,sell,88.38
82,Danya,Rumin,drumin29@go.com,Female,8.212.93.125,82,AMZN,5/11/2020,6,409.32,988,82,82,buy,11.73
83,Brannon,Sarah,bsarah2a@samsung.com,Male,29.124.101.71,83,FB,6/27/2021,21,928.87,912,83,83,buy,75.36
84,Eolanda,Petrolli,epetrolli2b@vimeo.com,Female,81.34.111.3,84,MSFT,3/13/2020,2,596.47,582,84,84,sell,87.3
85,Trixy,Smorthwaite,tsmorthwaite2c@tiny.cc,Non-binary,148.211.192.241,85,GOOGL,8/10/2021,1,84.81,856,85,85,sell,84.31
86,Kenton,Digby,kdigby2d@wikia.com,Male,29.178.234.78,86,MSFT,4/4/2020,12,898.71,48,86,86,buy,15.65
87,Norby,Barttrum,nbarttrum2e@mtv.com,Male,233.11.121.55,87,GOOGL,12/28/2021,3,936.76,468,87,87,buy,86.84
88,Danell,Brazelton,dbrazelton2f@slideshare.net,Female,14.230.40.252,88,MSFT,5/26/2021,5,924.59,475,88,88,buy,54.66
89,Chan,Cull,ccull2g@webmd.com,Male,27.95.59.97,89,MSFT,8/27/2020,11,328.44,625,89,89,sell,65.78
90,Brittney,Verheijden,bverheijden2h@barnesandnoble.com,Female,201.194.43.242,90,AMZN,11/22/2020,14,293.43,558,90,90,buy,48.94
91,Greggory,Gunn,ggunn2i@google.co.jp,Male,39.199.96.248,91,GOOGL,6/20/2021,14,887.14,283,91,91,buy,39.59
92,Gav,Stoddart,gstoddart2j@noaa.gov,Polygender,78.38.64.146,92,FB,11/30/2020,20,312.53,722,92,92,sell,59.7
93,Edgardo,Huertas,ehuertas2k@yelp.com,Male,192.37.103.154,93,FB,8/29/2021,13,164.1,636,93,93,buy,36.89
94,Rae,De Few,rdefew2l@posterous.com,Female,237.45.188.47,94,FB,3/18/2021,11,945.35,453,94,94,buy,73.22
95,Kristo,Howel,khowel2m@imdb.com,Male,144.144.173.248,95,MSFT,12/10/2021,23,726.14,207,95,95,sell,52.82
96,Porter,Rawsthorne,prawsthorne2n@howstuffworks.com,Male,216.244.150.236,96,MSFT,7/24/2021,4,189.59,790,96,96,sell,30.64
97,Aleen,Colum,acolum2o@nature.com,Female,105.120.99.191,97,FB,4/12/2021,7,235.02,166,97,97,buy,66.42
98,Broddy,Shaudfurth,bshaudfurth2p@edublogs.org,Male,165.80.214.194,98,MSFT,8/7/2020,13,686.02,880,98,98,sell,7.42
99,Gwyneth,Cowderoy,gcowderoy2q@flickr.com,Female,8.221.215.242,99,AMZN,7/15/2020,23,901.38,293,99,99,buy,42.27
100,Robby,Anfusso,ranfusso2r@seattletimes.com,Male,6.0.86.142,100,AAPL,4/25/2021,3,94.75,791,100,100,sell,8.39
101,Broddie,Mountain,bmountain2s@people.com.cn,Male,242.56.178.134,101,GOOGL,10/22/2020,9,506.71,604,101,101,buy,23.21
102,Patience,Cahalan,pcahalan2t@state.tx.us,Female,220.232.13.92,102,GOOGL,12/20/2021,8,828.84,474,102,102,buy,55.16
103,Sibella,Wormell,swormell2u@hubpages.com,Female,79.127.198.99,103,GOOGL,2/2/2020,22,405.24,270,103,103,buy,3.98
104,Huberto,Upsale,hupsale2v@tamu.edu,Male,82.4.120.174,104,AMZN,3/7/2021,5,363.83,68,104,104,sell,53.68
105,Yankee,Symonds,ysymonds2w@xing.com,Male,164.47.185.113,105,GOOGL,1/14/2020,17,66.06,441,105,105,buy,52.01
106,Atlanta,Blues,ablues2x@hatena.ne.jp,Female,24.156.85.137,106,GOOGL,8/2/2021,5,587.6,141,106,106,sell,1.73
107,Vail,Cicullo,vcicullo2y@reuters.com,Male,216.158.215.203,107,AAPL,7/29/2021,6,18.77,131,107,107,buy,64.52
108,Evangeline,Jeste,ejeste2z@exblog.jp,Female,82.60.104.253,108,AMZN,5/19/2021,4,478.64,240,108,108,buy,58.71
109,Goddard,Gregson,ggregson30@deliciousdays.com,Male,12.243.70.168,109,AAPL,5/16/2021,19,817.82,858,109,109,buy,21.83
110,Bobinette,Fills,bfills31@nba.com,Female,230.254.225.214,110,FB,8/3/2020,21,848.02,444,110,110,buy,2.18
111,Harp,Mylechreest,hmylechreest32@biglobe.ne.jp,Male,185.113.43.217,111,MSFT,11/21/2021,14,855.35,849,111,111,buy,59.22
112,Adrea,Walles,awalles33@bbc.co.uk,Female,140.100.227.95,112,AAPL,6/18/2020,12,918.13,967,112,112,sell,54.44
113,Lynnet,Greves,lgreves34@dailymail.co.uk,Female,138.174.254.8,113,AMZN,10/11/2020,20,276.83,710,113,113,buy,78.0
114,Sal,Hellin,shellin35@cloudflare.com,Male,218.155.196.39,114,FB,11/13/2021,2,51.43,303,114,114,sell,92.37
115,Isahella,Gasken,igasken36@youtu.be,Genderqueer,179.196.174.246,115,AAPL,1/10/2020,21,692.69,21,115,115,sell,12.65
116,Nye,Sinkin,nsinkin37@myspace.com,Male,49.178.76.147,116,GOOGL,2/20/2020,2,716.01,855,116,116,sell,41.91
117,Karylin,Rekes,krekes38@walmart.com,Female,240.238.20.9,117,AMZN,8/17/2021,6,738.91,295,117,117,sell,44.6
118,Gilburt,Roft,groft39@google.com.au,Male,7.162.41.183,118,GOOGL,7/18/2021,8,451.33,898,118,118,sell,20.12
119,Maje,Swyne,mswyne3a@theglobeandmail.com,Male,213.233.231.139,119,AAPL,3/16/2020,21,634.7,560,119,119,buy,39.71
120,Daffie,Churchill,dchurchill3b@odnoklassniki.ru,Female,2.114.22.147,120,AAPL,12/4/2020,1,870.95,478,120,120,sell,57.7
121,Prisca,Faherty,pfaherty3c@rediff.com,Female,245.94.119.195,121,AAPL,8/15/2020,18,873.2,311,121,121,buy,73.22
122,Zitella,Wrinch,zwrinch3d@cmu.edu,Female,101.35.31.25,122,GOOGL,12/14/2020,12,282.22,705,122,122,sell,73.0
123,Fletch,Gier,fgier3e@bluehost.com,Male,138.102.225.152,123,MSFT,11/10/2021,17,373.23,713,123,123,buy,47.76
124,Renault,Johann,rjohann3f@dailymail.co.uk,Male,63.84.26.154,124,GOOGL,7/14/2020,15,757.8,539,124,124,buy,11.56
125,Berget,Rushworth,brushworth3g@dropbox.com,Female,114.37.113.61,125,GOOGL,4/1/2020,15,30.22,156,125,125,buy,76.85
126,Sybila,Colliar,scolliar3h@npr.org,Polygender,127.218.239.134,126,MSFT,4/16/2020,3,30.18,571,126,126,buy,64.62
127,Bone,Piff,bpiff3i@scientificamerican.com,Male,105.78.126.160,127,GOOGL,9/23/2020,15,810.42,474,127,127,buy,61.21
128,Celina,Kordes,ckordes3j@biglobe.ne.jp,Female,147.196.19.0,128,FB,4/13/2020,21,401.75,340,128,128,sell,95.81
129,Isaac,Eglinton,ieglinton3k@macromedia.com,Male,249.170.74.9,129,GOOGL,2/29/2020,9,189.36,727,129,129,buy,49.15
130,Darsie,Osbaldstone,dosbaldstone3l@bluehost.com,Agender,54.184.200.68,130,AAPL,2/5/2021,9,510.56,300,130,130,sell,20.47
131,Peri,Diemer,pdiemer3m@yellowpages.com,Female,90.235.3.247,131,AAPL,1/11/2020,22,480.91,245,131,131,sell,51.24
132,Cammi,Gerriessen,cgerriessen3n@bloglovin.com,Female,222.187.117.233,132,AMZN,11/3/2021,12,930.43,166,132,132,buy,10.99
133,Stacie,Callaway,scallaway3o@nifty.com,Female,1.160.158.35,133,MSFT,7/11/2020,9,766.96,730,133,133,sell,23.91
134,Innis,Wakelam,iwakelam3p@diigo.com,Male,177.236.62.156,134,FB,4/21/2021,22,252.25,623,134,134,buy,73.05
135,Guillemette,Peyton,gpeyton3q@t.co,Female,155.148.29.159,135,AAPL,1/17/2021,2,781.12,87,135,135,sell,88.66
136,Teodor,Elcock,telcock3r@bravesites.com,Male,111.5.136.145,136,FB,7/7/2021,8,99.6,47,136,136,sell,36.73
137,Neel,Filochov,nfilochov3s@loc.gov,Male,68.233.39.7,137,GOOGL,9/7/2021,3,19.0,913,137,137,buy,87.74
138,Celka,Eilert,ceilert3t@parallels.com,Female,1.161.36.123,138,GOOGL,9/23/2021,5,463.75,161,138,138,sell,98.88
139,Steven,Klaussen,sklaussen3u@archive.org,Male,87.98.28.129,139,AAPL,6/20/2021,14,879.18,2,139,139,sell,26.75
140,Allard,Sergent,asergent3v@omniture.com,Male,188.188.13.233,140,AMZN,12/18/2021,9,688.53,882,140,140,sell,96.29
141,Maximilien,Chomicz,mchomicz3w@nymag.com,Male,9.162.101.232,141,GOOGL,2/13/2021,12,391.55,858,141,141,buy,10.99
142,Josey,Harrowing,jharrowing3x@sakura.ne.jp,Female,204.194.64.85,142,FB,9/17/2020,22,661.51,840,142,142,sell,17.31
143,Loree,Ofener,lofener3y@acquirethisname.com,Female,240.204.16.39,143,GOOGL,4/7/2021,2,808.56,260,143,143,buy,69.65
144,Helsa,Gorey,hgorey3z@shop-pro.jp,Genderqueer,90.38.126.79,144,GOOGL,11/6/2020,10,492.46,246,144,144,buy,81.16
145,Edmund,Huntingdon,ehuntingdon40@technorati.com,Non-binary,152.215.215.127,145,MSFT,5/16/2021,7,533.76,900,145,145,buy,72.92
146,Imogene,Menichelli,imenichelli41@vimeo.com,Bigender,199.166.185.105,146,GOOGL,9/12/2021,3,365.14,43,146,146,buy,59.38
147,Lacie,Pinilla,lpinilla42@nationalgeographic.com,Female,244.31.233.203,147,AAPL,2/26/2020,16,595.62,132,147,147,buy,76.56
148,Austine,Playdon,aplaydon43@wordpress.com,Female,186.229.43.12,148,AAPL,9/22/2021,19,371.63,866,148,148,buy,16.5
149,Alexandra,McColgan,amccolgan44@mediafire.com,Female,101.206.201.200,149,AMZN,6/23/2021,11,466.87,890,149,149,sell,38.47
150,Leone,Elsworth,lelsworth45@patch.com,Female,130.63.203.178,150,AMZN,5/5/2020,4,294.3,134,150,150,buy,25.35
151,Llywellyn,Banbrigge,lbanbrigge46@issuu.com,Agender,90.210.107.148,151,FB,3/26/2020,2,857.28,268,151,151,sell,25.97
152,Boonie,Quipp,bquipp47@squidoo.com,Male,113.3.201.6,152,MSFT,10/15/2020,16,999.0,378,152,152,buy,14.01
153,Hinze,Hughson,hhughson48@bbb.org,Male,227.113.159.166,153,AAPL,5/16/2021,15,930.76,433,153,153,buy,71.01
154,Ulises,Asif,uasif49@sun.com,Male,0.189.83.59,154,AMZN,1/10/2021,16,287.65,595,154,154,sell,28.33
155,Norine,Urridge,nurridge4a@loc.gov,Female,203.195.201.248,155,MSFT,8/26/2021,11,729.48,19,155,155,buy,59.84
156,Catharina,Caldero,ccaldero4b@cmu.edu,Female,200.114.73.16,156,AMZN,7/28/2021,5,690.81,961,156,156,sell,79.92
157,Wallas,Tansley,wtansley4c@earthlink.net,Agender,26.213.4.222,157,AAPL,2/9/2020,4,709.78,612,157,157,sell,49.67
158,Nancy,Dimitrov,ndimitrov4d@stanford.edu,Non-binary,15.86.156.123,158,GOOGL,5/31/2020,13,867.53,478,158,158,sell,66.33
159,Benetta,McKeeman,bmckeeman4e@is.gd,Female,182.103.190.192,159,MSFT,6/13/2021,16,989.94,744,159,159,buy,91.72
160,Binni,Jacop,bjacop4f@prlog.org,Female,50.38.215.101,160,FB,4/21/2020,15,992.28,336,160,160,sell,46.05
161,Shawn,Swannell,sswannell4g@jalbum.net,Female,35.176.192.235,161,AAPL,3/8/2020,19,285.53,542,161,161,buy,70.35
162,Porter,Quare,pquare4h@apache.org,Male,27.215.191.19,162,GOOGL,5/17/2021,2,868.08,770,162,162,sell,80.05
163,Nilson,Coughan,ncoughan4i@dropbox.com,Male,239.1.26.245,163,AAPL,11/25/2021,14,746.31,9,163,163,buy,19.41
164,Dasi,Whittingham,dwhittingham4j@biblegateway.com,Female,209.86.151.147,164,FB,12/13/2020,7,868.69,569,164,164,buy,19.8
165,Darnall,Rickhuss,drickhuss4k@psu.edu,Male,196.130.113.63,165,MSFT,2/29/2020,8,286.6,352,165,165,sell,21.13
166,Paulette,MacEllen,pmacellen4l@google.es,Female,187.42.37.32,166,AMZN,11/20/2020,13,236.96,754,166,166,sell,10.42
167,Immanuel,Branscombe,ibranscombe4m@who.int,Male,54.45.166.54,167,GOOGL,4/8/2021,7,752.88,787,167,167,sell,81.41
168,Katina,Osbidston,kosbidston4n@google.de,Female,102.248.174.215,168,AAPL,10/13/2021,13,357.7,959,168,168,buy,80.75
169,Reuven,Van Arsdalen,rvanarsdalen4o@1688.com,Male,227.8.145.5,169,AMZN,12/6/2020,17,474.73,760,169,169,sell,11.74
170,Candace,Newdick,cnewdick4p@unblog.fr,Female,115.210.251.154,170,MSFT,4/17/2020,8,865.53,198,170,170,buy,56.35
171,Hill,Penvarne,hpenvarne4q@theguardian.com,Male,107.109.23.217,171,MSFT,2/18/2021,7,96.61,146,171,171,buy,27.32
172,Caitrin,Relf,crelf4r@is.gd,Female,162.8.197.86,172,AMZN,9/21/2020,2,842.01,213,172,172,sell,68.96
173,Mycah,Bevans,mbevans4s@godaddy.com,Male,82.131.26.94,173,AMZN,11/28/2020,23,69.62,709,173,173,buy,68.97
174,Benton,Claasen,bclaasen4t@dot.gov,Male,215.28.116.158,174,GOOGL,1/3/2021,17,531.38,490,174,174,sell,54.3
175,Nedda,Vannozzii,nvannozzii4u@sphinn.com,Female,191.36.250.121,175,GOOGL,3/23/2021,22,222.4,69,175,175,sell,24.22
176,Jaine,Boosey,jboosey4v@prweb.com,Female,77.28.56.26,176,AMZN,3/6/2021,9,737.94,426,176,176,sell,44.82
177,Myles,Vasyukhichev,mvasyukhichev4w@sphinn.com,Male,121.109.31.144,177,FB,3/15/2020,4,186.93,176,177,177,sell,8.77
178,Perry,McAnalley,pmcanalley4x@amazon.co.uk,Male,131.11.162.166,178,FB,12/9/2021,19,335.74,106,178,178,sell,57.17
179,Patton,Sidebotton,psidebotton4y@cocolog-nifty.com,Male,193.164.145.17,179,FB,12/24/2020,4,591.38,114,179,179,sell,45.89
180,Micaela,Mulqueeny,mmulqueeny4z@cdc.gov,Female,13.205.225.202,180,MSFT,7/25/2021,15,826.66,964,180,180,sell,54.07
181,Elna,Ennor,eennor50@jalbum.net,Female,53.223.86.143,181,GOOGL,7/20/2020,16,80.25,341,181,181,buy,99.23
182,Tiena,Stelljes,tstelljes51@wikimedia.org,Female,81.62.254.202,182,AAPL,10/30/2020,8,264.5,463,182,182,buy,17.64
183,Eudora,Farney,efarney52@newyorker.com,Female,188.27.198.35,183,FB,6/24/2020,23,227.99,681,183,183,sell,5.41
184,Ashlan,Polk,apolk53@sitemeter.com,Female,220.164.188.74,184,GOOGL,7/27/2020,4,582.04,334,184,184,sell,27.39
185,Allistir,Charette,acharette54@is.gd,Male,247.84.223.51,185,GOOGL,11/29/2020,19,771.28,375,185,185,buy,32.7
186,Carmine,Cerman,ccerman55@washington.edu,Male,147.190.233.131,186,GOOGL,1/22/2021,17,248.14,359,186,186,buy,93.85
187,Nanice,Gostling,ngostling56@lulu.com,Female,23.55.138.252,187,MSFT,8/23/2021,12,684.21,802,187,187,sell,18.81
188,Pauletta,Cammis,pcammis57@nyu.edu,Female,56.166.83.31,188,AAPL,7/25/2021,10,425.52,2,188,188,buy,30.57
189,Hazlett,Seawright,hseawright58@oaic.gov.au,Male,14.215.207.145,189,AMZN,5/5/2020,4,782.43,492,189,189,buy,69.66
190,Finn,Winslade,fwinslade59@answers.com,Male,34.40.178.171,190,GOOGL,4/4/2021,11,290.2,306,190,190,sell,97.34
191,Silvan,Kleynermans,skleynermans5a@prweb.com,Male,157.163.66.38,191,AMZN,1/7/2020,14,752.62,290,191,191,sell,98.31
192,Cherye,McLagain,cmclagain5b@cbslocal.com,Female,203.125.188.74,192,MSFT,4/1/2021,10,662.8,732,192,192,buy,43.55
193,Isabel,Delagnes,idelagnes5c@mozilla.org,Female,136.160.56.24,193,AMZN,3/12/2021,8,311.39,423,193,193,buy,93.08
194,Renie,Danielczyk,rdanielczyk5d@fda.gov,Female,23.158.128.87,194,GOOGL,6/18/2020,19,72.95,542,194,194,buy,33.33
195,Hillary,Pietrowicz,hpietrowicz5e@marriott.com,Female,60.51.76.3,195,AMZN,9/29/2020,21,287.67,162,195,195,buy,22.78
196,Trixy,Whitney,twhitney5f@cmu.edu,Female,211.255.156.192,196,MSFT,12/2/2021,6,964.82,837,196,196,sell,98.66
